rule,wolfram_class,mean_H,std_H,opacity,t_comp,gzip_ratio,w_entropy,w_opacity,w_tcomp,w_gzip,complexity
0,C1,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
1,C2,0.66499,0.13524,0.18151,0.1245,0.01203,1.0,0.91744,0.0,0.2127,2e-08
2,C2,0.57338,0.0,0.0,0.72315,0.01185,1.32465,0.37531,0.20172,0.21137,0.02119838
3,C2,0.89328,0.07224,0.27126,0.13509,0.02404,0.99995,0.42254,0.0,0.31534,3e-08
4,C2,0.54198,0.0,0.0,0.99333,0.00621,1.32465,0.37531,0.0,0.17218,1.4e-07
5,C2,0.87373,0.07183,0.24992,0.42515,0.0082,0.99999,0.54653,0.1536,0.18539,0.01556296
6,C2,0.80397,0.04114,0.2585,0.6648,0.02024,1.00131,0.49551,0.57018,0.28018,0.07926318
7,C2,0.96386,0.01563,0.31875,0.05563,0.02495,1.80236,0.2024,0.0,0.32418,0.0
8,C1,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
9,C2,0.97362,0.01199,0.10159,0.35637,0.03067,1.73303,0.92888,0.0201,0.38235,0.01237255
10,C2,0.82048,0.0,0.0,0.62249,0.013,1.32465,0.37531,0.86846,0.22011,0.09503265
11,C2,0.98554,0.0,0.31341,0.37084,0.02788,0.81982,0.22233,0.03279,0.35341,0.00211213
12,C2,0.80245,0.0,0.0,0.99333,0.00658,1.32465,0.37531,0.0,0.17455,1.4e-07
13,C2,0.98814,0.0,0.0,0.99333,0.00596,0.70482,0.37531,0.0,0.17053,7e-08
14,C2,0.99653,0.00035,0.19339,0.53167,0.02394,0.23129,0.86715,0.83321,0.3144,0.05253877
15,C2,0.99656,0.0,0.32785,0.4874,0.02359,0.22568,0.17129,0.51173,0.31109,0.00615385
16,C2,0.57338,0.0,0.0,0.72315,0.01154,1.32465,0.37531,0.20172,0.20906,0.0209667
17,C2,0.89328,0.07224,0.27126,0.13509,0.02472,0.99995,0.42254,0.0,0.32193,3e-08
18,C2,0.82515,0.04509,0.29637,0.47468,0.12378,1.00019,0.29446,0.42041,0.89308,0.11058078
19,C2,0.98303,0.0,0.32355,0.0,0.00789,0.91441,0.18552,0.0,0.18328,0.0
20,C2,0.79244,0.03323,0.19648,0.67527,0.0215,1.02955,0.85259,0.49208,0.2916,0.12595419
21,C2,0.97379,0.0141,0.25631,0.0596,0.02529,1.69944,0.50845,0.0,0.32747,0.0
22,C2,0.92797,0.04724,0.34821,0.46453,0.14853,0.99857,0.11445,0.35289,0.62432,0.02517834
23,C2,0.99496,0.0,0.33077,0.0,0.00773,0.32666,0.16207,0.0,0.1822,0.0
24,C2,0.67624,0.0,0.0,0.63838,0.01289,1.32465,0.37531,0.76622,0.21922,0.0835085
25,C2,0.9908,0.00532,0.0,0.3122,0.03179,0.73356,0.37531,0.00369,0.39431,0.00040021
26,C2,0.9635,0.01913,0.29184,0.4016,0.07636,1.58735,0.31575,0.0832,0.89429,0.03729451
27,C2,0.99085,0.00743,0.19265,0.1853,0.02355,0.79128,0.8706,1e-05,0.31067,1.11e-06
28,C2,0.99913,0.0,0.3277,0.86354,0.00745,0.05774,0.17178,0.00187,0.1803,3.35e-06
29,C2,0.99656,0.0,0.32676,0.62249,0.00845,0.22568,0.17484,0.86846,0.18709,0.00641111
30,C3,0.99529,0.00652,0.33264,0.49378,0.16232,0.41393,0.15636,0.55945,0.4599,0.01665267
31,C2,0.94593,0.02387,0.31029,0.06622,0.02504,1.32042,0.2346,0.0,0.32504,0.0
32,C1,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
33,C2,0.92965,0.06083,0.31096,0.19337,0.0078,0.99824,0.23191,1e-05,0.18268,3.6e-07
34,C2,0.80245,0.0,0.0,0.50594,0.01536,1.32465,0.37531,0.65146,0.23864,0.07729175
35,C2,0.94461,0.03522,0.25165,0.2437,0.02322,1.00686,0.53619,0.00015,0.30755,2.415e-05
36,C2,0.32346,0.0,0.0,0.99333,0.00667,1.32465,0.37531,0.0,0.17513,1.4e-07
37,C2,0.9472,0.03328,0.32466,0.23043,0.0086,1.01866,0.18177,7e-05,0.18813,2.49e-06
38,C2,0.85677,0.01313,0.0,0.61983,0.01979,1.99013,0.37531,0.88343,0.27614,0.18221234
39,C2,0.98871,0.00813,0.25669,0.18665,0.02383,0.96639,0.5062,1e-05,0.31338,8.6e-07
40,C1,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
41,C2,0.93757,0.0485,0.37082,0.37956,0.10507,0.99615,0.06967,0.04334,0.99488,0.00299273
42,C2,0.94595,0.0,0.0,0.50594,0.01345,1.3128,0.37531,0.65146,0.22353,0.07174871
43,C2,0.99932,0.00017,0.10721,0.46265,0.02228,0.04533,0.94766,0.341,0.29873,0.00437629
44,C2,0.65566,0.0,0.0,0.99333,0.00626,1.32465,0.37531,0.0,0.17247,1.4e-07
45,C3,0.99551,0.0066,0.33909,0.49597,0.16196,0.39641,0.13782,0.57603,0.46398,0.01460106
46,C2,0.95377,0.0,0.0,0.61984,0.01234,1.29889,0.37531,0.88338,0.21504,0.09260361
47,C2,0.99096,8e-05,0.31967,0.37346,0.02803,0.56338,0.19909,0.03569,0.35486,0.0014207
48,C2,0.80245,0.0,0.0,0.50594,0.01492,1.32465,0.37531,0.65146,0.23507,0.07613443
49,C2,0.94815,0.02534,0.25653,0.2437,0.02295,1.23513,0.50716,0.00015,0.30504,2.779e-05
50,C2,0.99959,0.0,0.33154,0.0,0.00778,0.02718,0.15971,0.0,0.1825,0.0
51,C2,0.99656,0.0,0.32785,0.0,0.00871,0.22568,0.17129,0.0,0.18886,0.0
52,C2,0.85391,0.00874,0.0,0.62249,0.02026,1.9201,0.37531,0.86846,0.28034,0.17544544
53,C2,0.98868,0.00886,0.25977,0.1854,0.02373,0.98693,0.48807,1e-05,0.31245,7.8e-07
54,C2,0.9711,0.02817,0.53951,0.2825,0.10076,1.01066,0.00034,0.00099,0.99989,3.4e-07
55,C2,0.96283,0.0,0.31331,0.0,0.00777,1.26178,0.22273,0.0,0.18244,0.0
56,C2,0.94595,0.0,0.0,0.26754,0.01897,1.3128,0.37531,0.00049,0.26896,6.452e-05
57,C2,0.99946,0.0,0.0,0.02272,0.02506,0.03568,0.37531,0.0,0.32522,0.0
58,C2,0.95115,0.00038,0.0,0.25668,0.02215,1.32811,0.37531,0.00028,0.29757,4.21e-05
59,C2,0.95084,0.02401,0.25588,0.2437,0.02308,1.30488,0.51101,0.00015,0.3063,2.97e-05
60,C2,0.99517,0.0067,0.33976,0.49591,0.16212,0.42684,0.13599,0.57556,0.46224,0.0154434
61,C2,0.98982,0.00609,0.00384,0.3093,0.02457,0.82631,0.39575,0.00326,0.32047,0.000342
62,C2,0.94279,0.01775,0.22079,0.3234,0.03795,1.76083,0.72154,0.00584,0.46296,0.00343221
63,C2,0.87439,0.06991,0.2611,0.1192,0.02444,0.99999,0.48035,0.0,0.31927,1e-08
64,C2,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
65,C2,0.97607,0.00737,0.00385,0.35431,0.02732,1.53692,0.3958,0.0187,0.34772,0.00395506
66,C2,0.69647,0.0,0.0,0.61984,0.01371,1.32465,0.37531,0.88338,0.22553,0.0990471
67,C2,0.99101,0.00455,0.00384,0.31514,0.02937,0.69453,0.39575,0.00417,0.36871,0.00042227
68,C2,0.80245,0.0,0.0,0.99333,0.00652,1.32465,0.37531,0.0,0.1742,1.4e-07
69,C2,0.98698,0.0,0.0,0.99333,0.00604,0.7581,0.37531,0.0,0.1711,8e-08
70,C2,0.999,0.0,0.32675,0.87148,0.00735,0.06622,0.17486,0.00131,0.17965,2.72e-06
71,C2,0.99656,0.0,0.32805,0.62514,0.00841,0.22568,0.17065,0.85285,0.18679,0.00613511
72,C2,0.50177,0.0,0.0,0.99333,0.00591,1.32465,0.37531,0.0,0.17024,1.4e-07
73,C2,0.99183,0.00772,0.19489,0.66381,0.08045,0.72281,0.86017,0.57764,0.92643,0.33271841
74,C2,0.91534,0.0,0.0,0.65957,0.01916,1.32409,0.37531,0.60977,0.27059,0.08199339
75,C2,0.99551,0.00644,0.33756,0.49851,0.1614,0.39443,0.14205,0.59521,0.47054,0.01569152
76,C2,0.94595,0.0,0.0,0.99333,0.00669,1.3128,0.37531,0.0,0.17531,1.4e-07
77,C2,0.99959,0.0,0.0,0.99333,0.00635,0.02718,0.37531,0.0,0.17305,0.0
78,C2,0.98618,0.0,0.0,0.99333,0.00604,0.79305,0.37531,0.0,0.17104,8e-08
79,C2,0.98618,0.0,0.0,0.99333,0.006,0.79305,0.37531,0.0,0.17081,8e-08
80,C2,0.82048,0.0,0.0,0.61984,0.01325,1.32465,0.37531,0.88338,0.22202,0.09750528
81,C2,0.98975,3e-05,0.31966,0.37348,0.0281,0.62577,0.1991,0.03571,0.35559,0.00158219
82,C2,0.95819,0.01874,0.24422,0.40559,0.09266,1.64983,0.58096,0.09288,0.98928,0.08806977
83,C2,0.99212,0.00649,0.12983,0.18665,0.02392,0.67012,0.99484,1e-05,0.31423,1.18e-06
84,C2,0.9966,0.00026,0.06847,0.53076,0.02467,0.22565,0.77428,0.82747,0.32141,0.04646766
85,C2,0.99656,0.0,0.32785,0.4874,0.02309,0.22568,0.17129,0.51173,0.30638,0.00606063
86,C3,0.99507,0.00668,0.33559,0.49525,0.16195,0.43538,0.14768,0.57058,0.46418,0.01702959
87,C2,0.94662,0.02347,0.31078,0.06357,0.02537,1.34462,0.23263,0.0,0.32826,0.0
88,C2,0.87181,0.0,0.0,0.67017,0.02011,1.32465,0.37531,0.52983,0.27899,0.07348794
89,C3,0.99555,0.0064,0.33498,0.50087,0.16145,0.39012,0.14944,0.61313,0.46992,0.01679768
90,C2,0.99549,0.00591,0.3331,0.49461,0.16185,0.38759,0.15498,0.56575,0.46531,0.01581316
91,C2,0.95351,0.02024,0.26288,0.23567,0.00912,1.55838,0.47005,9e-05,0.1917,1.333e-05
92,C2,0.9884,0.0,0.0,0.99333,0.00606,0.69238,0.37531,0.0,0.17121,7e-08
93,C2,0.9884,0.0,0.0,0.99333,0.00602,0.69238,0.37531,0.0,0.17092,7e-08
94,C2,0.97905,0.01011,0.05871,0.88916,0.01339,1.54015,0.71865,0.00057,0.22305,0.00014113
95,C2,0.86525,0.07366,0.2418,0.40396,0.00812,1.0,0.59564,0.08881,0.18485,0.00977851
96,C2,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
97,C2,0.93882,0.04358,0.35884,0.38181,0.10882,0.99602,0.09121,0.04649,0.98457,0.00415822
98,C2,0.94595,0.0,0.0,0.26754,0.01857,1.3128,0.37531,0.00049,0.26548,6.368e-05
99,C2,0.99946,0.0,0.0,0.02199,0.02504,0.03568,0.37531,0.0,0.32504,0.0
100,C2,0.65899,0.0,0.0,0.99333,0.00627,1.32465,0.37531,0.0,0.17253,1.4e-07
101,C3,0.99541,0.00635,0.33198,0.49265,0.16166,0.40144,0.15836,0.55095,0.46746,0.01637266
102,C2,0.99517,0.0067,0.33976,0.49591,0.16214,0.42684,0.13599,0.57556,0.46193,0.01543317
103,C2,0.99071,0.00664,0.00384,0.30571,0.03202,0.78035,0.39574,0.0028,0.3968,0.0003432
104,C2,0.37643,0.0,0.0,0.99333,0.00704,1.32465,0.37531,0.0,0.17758,1.4e-07
105,C3,0.99472,0.00785,0.34056,0.49508,0.16185,0.48313,0.13382,0.56924,0.46531,0.01712457
106,C3,0.9951,0.0064,0.31623,0.49841,0.15653,0.42794,0.21165,0.59447,0.52771,0.02841452
107,C2,0.9368,0.05069,0.36509,0.37564,0.1133,0.99641,0.0794,0.03829,0.96525,0.00292388
108,C2,0.91186,0.00777,0.0,0.92446,0.0081,1.86926,0.37531,9e-05,0.18467,1.221e-05
109,C2,0.99376,0.00632,0.19232,0.68634,0.08384,0.53693,0.87208,0.41337,0.94911,0.1837104
110,C4,0.98439,0.01284,0.11639,0.57937,0.12398,1.30242,0.9725,0.99997,0.89134,1.12894412
111,C2,0.97488,0.01845,0.13004,0.3232,0.02586,1.4642,0.99505,0.00579,0.33307,0.00280847
112,C2,0.94595,0.0,0.0,0.50594,0.01373,1.3128,0.37531,0.65146,0.22574,0.07245758
113,C2,0.9994,0.00016,0.22111,0.46172,0.02356,0.0398,0.71967,0.33519,0.31084,0.00298445
114,C2,0.95115,0.00062,0.00381,0.25665,0.02197,1.34307,0.39558,0.00028,0.29593,4.457e-05
115,C2,0.94982,0.02729,0.18863,0.2437,0.02316,1.14576,0.88849,0.00015,0.30697,4.544e-05
116,C2,0.95123,0.0,0.0,0.62249,0.0136,1.30462,0.37531,0.86846,0.2247,0.09554875
117,C2,0.9893,9e-05,0.31522,0.37073,0.02871,0.65077,0.21543,0.03267,0.36189,0.00165729
118,C2,0.9402,0.0166,0.21467,0.32045,0.04156,1.83835,0.7567,0.00518,0.50502,0.00363948
119,C2,0.87439,0.06991,0.2611,0.1192,0.02462,0.99999,0.48035,0.0,0.32098,1e-08
120,C2,0.9951,0.00624,0.29508,0.48225,0.1582,0.42552,0.30045,0.47402,0.50786,0.03077723
121,C2,0.9384,0.04684,0.38268,0.37126,0.10573,0.99586,0.05261,0.03324,0.99345,0.00173023
122,C2,0.99038,0.01294,0.37694,0.49417,0.11962,0.89132,0.06039,0.5624,0.92592,0.02802826
123,C2,0.94678,0.04017,0.31901,0.18807,0.00832,0.99229,0.20145,1e-05,0.18618,2.3e-07
124,C4,0.98362,0.014,0.14348,0.579,0.12104,1.3284,0.9994,0.99992,0.91527,1.21501202
125,C2,0.97363,0.00865,0.05784,0.36924,0.03054,1.66009,0.71354,0.0311,0.38103,0.01403835
126,C2,0.99024,0.01413,0.40047,0.49627,0.11752,0.88965,0.03363,0.57825,0.94046,0.01627245
127,C2,0.67782,0.13212,0.18731,0.12715,0.0094,1.0,0.89413,0.0,0.19369,2e-08
128,C1,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
129,C2,0.99024,0.01413,0.40983,0.49627,0.11752,0.88965,0.02624,0.57825,0.94046,0.0126954
130,C2,0.6677,0.0,0.0,0.64633,0.01325,1.32465,0.37531,0.70913,0.22202,0.07827247
131,C2,0.95367,0.01306,0.26962,0.32899,0.02882,1.95289,0.43166,0.00728,0.36299,0.00222798
132,C2,0.64702,0.0,0.0,0.99333,0.00636,1.32465,0.37531,0.0,0.17311,1.4e-07
133,C2,0.97707,0.00835,0.0,0.91922,0.01432,1.55219,0.37531,0.00012,0.23034,1.673e-05
134,C2,0.86997,0.04225,0.12381,0.6011,0.02084,1.00078,0.98698,0.96581,0.28553,0.27239179
135,C2,0.99544,0.00637,0.33323,0.50041,0.16223,0.39892,0.15459,0.60963,0.46091,0.01732849
136,C1,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
137,C4,0.98337,0.01323,0.14034,0.57765,0.12372,1.35448,0.99999,0.99957,0.89361,1.20985043
138,C2,0.95614,0.0,0.0,0.62249,0.01236,1.29206,0.37531,0.86846,0.21517,0.090617
139,C2,0.95123,0.0,0.0,0.62249,0.0128,1.30462,0.37531,0.86846,0.21854,0.09293131
140,C2,0.80245,0.0,0.0,0.99333,0.00658,1.32465,0.37531,0.0,0.17455,1.4e-07
141,C2,0.98814,0.0,0.0,0.99333,0.00603,0.70482,0.37531,0.0,0.17098,7e-08
142,C2,0.9994,0.00016,0.19274,0.53162,0.02388,0.0398,0.87015,0.83287,0.31389,0.00905432
143,C2,0.99654,0.00033,0.13162,0.53172,0.02424,0.23072,0.9965,0.83354,0.3173,0.06080761
144,C2,0.67326,0.0,0.0,0.64103,0.01292,1.32465,0.37531,0.74752,0.21949,0.08157111
145,C2,0.94896,0.01607,0.26296,0.32569,0.03598,1.85581,0.46955,0.00639,0.44058,0.00245411
146,C2,0.82376,0.04356,0.29344,0.47664,0.1224,1.00042,0.30815,0.43403,0.90452,0.12102965
147,C2,0.97789,0.02516,0.45182,0.28737,0.1139,1.00987,0.00774,0.00124,0.96208,9.35e-06
148,C2,0.86095,0.01987,0.06476,0.61434,0.02038,1.61645,0.75346,0.912,0.28145,0.31262185
149,C2,0.99554,0.00655,0.33557,0.49812,0.16223,0.39289,0.14773,0.59225,0.46091,0.01584361
150,C3,0.99472,0.00785,0.34487,0.49826,0.16156,0.48313,0.12263,0.59332,0.46859,0.01647216
151,C2,0.9251,0.05036,0.35782,0.47001,0.14779,0.99889,0.09327,0.38862,0.63336,0.0229316
152,C2,0.69639,0.0,0.0,0.61984,0.01346,1.32465,0.37531,0.88338,0.2236,0.09819862
153,C3,0.99517,0.0067,0.33976,0.49591,0.16214,0.42684,0.13599,0.57556,0.46193,0.01543317
154,C2,0.99503,0.00387,0.11992,0.5065,0.07236,0.38862,0.98005,0.65568,0.85835,0.21435401
155,C2,0.85371,0.01276,0.13218,0.62236,0.01987,1.99547,0.99695,0.86917,0.27685,0.47870952
156,C2,0.99946,0.0,0.19702,0.86354,0.00743,0.03568,0.84996,0.00187,0.18018,1.023e-05
157,C2,0.99733,0.0,0.31848,0.86354,0.0075,0.17576,0.20335,0.00187,0.18065,1.209e-05
158,C2,0.85441,0.03551,0.12846,0.61964,0.01993,1.01334,0.99336,0.8845,0.27741,0.24698782
159,C2,0.77675,0.04967,0.25948,0.68571,0.02075,1.00002,0.48978,0.41771,0.28473,0.05825303
160,C1,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
161,C2,0.99074,0.01306,0.39732,0.49693,0.1183,0.86088,0.0365,0.58329,0.9352,0.0171386
162,C2,0.91624,0.0,0.0,0.33376,0.01642,1.32404,0.37531,0.00876,0.24729,0.00107703
163,C2,0.95317,0.00102,0.02515,0.251,0.02364,1.36426,0.51712,0.00021,0.3116,4.674e-05
164,C2,0.43179,0.0,0.0,0.99333,0.00596,1.32465,0.37531,0.0,0.17058,1.4e-07
165,C3,0.99549,0.00591,0.3331,0.49461,0.16185,0.38759,0.15498,0.56575,0.46531,0.01581316
166,C2,0.99722,0.00232,0.22892,0.49382,0.0783,0.20465,0.67345,0.55978,0.91014,0.07021871
167,C2,0.95756,0.02296,0.2441,0.4038,0.07337,1.35219,0.58166,0.08844,0.86776,0.06036346
168,C1,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
169,C3,0.99537,0.00618,0.31425,0.49091,0.15677,0.40203,0.21913,0.53788,0.52485,0.02487007
170,C2,0.99656,0.0,0.0,0.50594,0.0132,0.22568,0.37531,0.65146,0.22161,0.01222793
171,C2,0.95738,0.0,0.0,0.50594,0.01346,1.28783,0.37531,0.65146,0.2236,0.0704054
172,C2,0.57338,0.0,0.0,0.99333,0.00617,1.32465,0.37531,0.0,0.1719,1.4e-07
173,C2,0.90246,0.0,0.0,0.68606,0.01804,1.3245,0.37531,0.41526,0.26097,0.05387159
174,C2,0.95441,0.0,0.0,0.61984,0.01244,1.29718,0.37531,0.88338,0.21578,0.09279961
175,C2,0.82048,0.0,0.0,0.61984,0.01301,1.32465,0.37531,0.88338,0.22017,0.09669555
176,C2,0.91624,0.0,0.0,0.33376,0.01624,1.32404,0.37531,0.00876,0.24582,0.00107064
177,C2,0.95317,0.00091,0.02817,0.25104,0.02209,1.35718,0.53513,0.00021,0.297,4.594e-05
178,C2,0.99959,0.0,0.33154,0.0,0.00778,0.02718,0.15971,0.0,0.1825,0.0
179,C2,0.99959,0.0,0.33154,0.0,0.00778,0.02718,0.15971,0.0,0.1825,0.0
180,C2,0.99796,0.00173,0.17078,0.49743,0.08008,0.14608,0.95374,0.58706,0.92371,0.07554906
181,C2,0.96246,0.01702,0.29862,0.40628,0.09103,1.73818,0.28422,0.09465,0.98404,0.04601307
182,C3,0.82259,0.04544,0.29817,0.47788,0.12252,1.00016,0.28625,0.44279,0.90351,0.1145384
183,C2,0.82026,0.04645,0.30727,0.48087,0.12084,1.00009,0.24683,0.46408,0.91684,0.10503435
184,C2,0.99656,0.0,0.0,0.06944,0.02804,0.22568,0.37531,0.0,0.35504,0.0
185,C2,0.95738,0.0,0.0,0.23575,0.02039,1.28783,0.37531,0.0001,0.28153,1.297e-05
186,C2,0.90848,0.0,0.0,0.347,0.01679,1.32437,0.37531,0.01439,0.25039,0.00179102
187,C2,0.80245,0.0,0.0,0.50594,0.01569,1.32465,0.37531,0.65146,0.24131,0.0781555
188,C2,0.69099,0.0,0.0,0.62514,0.01355,1.32465,0.37531,0.85285,0.22429,0.09509689
189,C2,0.69647,0.0,0.0,0.61984,0.01371,1.32465,0.37531,0.88338,0.22553,0.0990471
190,C2,0.63364,0.0,0.0,0.67547,0.01306,1.32465,0.37531,0.49065,0.22051,0.0537903
191,C2,0.52924,0.0,0.0,0.75493,0.01141,1.32465,0.37531,0.09156,0.20815,0.00947475
192,C2,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
193,C4,0.9837,0.01388,0.15457,0.57956,0.12509,1.3265,0.98945,0.99998,0.88167,1.15717575
194,C2,0.70248,0.0,0.0,0.61454,0.01354,1.32465,0.37531,0.911,0.22422,0.10154948
195,C2,0.99517,0.0067,0.33976,0.49591,0.16212,0.42684,0.13599,0.57556,0.46224,0.0154434
196,C2,0.80245,0.0,0.0,0.99333,0.00652,1.32465,0.37531,0.0,0.1742,1.4e-07
197,C2,0.98698,0.0,0.0,0.99333,0.00598,0.7581,0.37531,0.0,0.1707,8e-08
198,C2,0.99946,0.0,0.19728,0.87148,0.00736,0.03568,0.84869,0.00131,0.17971,7.13e-06
199,C2,0.99777,0.0,0.32036,0.87148,0.00731,0.14729,0.19662,0.00131,0.17935,6.8e-06
200,C2,0.9443,0.0,0.0,0.99333,0.00648,1.31459,0.37531,0.0,0.17391,1.4e-07
201,C2,0.88789,0.00595,0.0,0.94433,0.00779,1.7513,0.37531,3e-05,0.18256,3.76e-06
202,C2,0.52937,0.00093,0.00672,0.9933,0.00626,1.38402,0.41138,0.0,0.17247,1.6e-07
203,C2,0.65233,0.0,0.0,0.99333,0.00629,1.32465,0.37531,0.0,0.1727,1.4e-07
204,C2,0.99656,0.0,0.0,0.99333,0.00685,0.22568,0.37531,0.0,0.17635,2e-08
205,C2,0.95738,0.0,0.0,0.99333,0.00667,1.28783,0.37531,0.0,0.17513,1.4e-07
206,C2,0.80245,0.0,0.0,0.99333,0.00652,1.32465,0.37531,0.0,0.1742,1.4e-07
207,C2,0.80245,0.0,0.0,0.99333,0.00652,1.32465,0.37531,0.0,0.1742,1.4e-07
208,C2,0.95614,0.0,0.0,0.61984,0.01238,1.29206,0.37531,0.88338,0.21537,0.09226031
209,C2,0.95377,0.0,0.0,0.61984,0.0138,1.29889,0.37531,0.88338,0.22629,0.09744873
210,C2,0.99529,0.0038,0.11972,0.50293,0.08668,0.36787,0.97964,0.62876,0.96511,0.21868526
211,C2,0.85667,0.01533,0.06613,0.61971,0.02049,1.91714,0.76121,0.88411,0.28241,0.36436842
212,C2,0.99932,0.00017,0.02336,0.53068,0.02472,0.04533,0.50652,0.82696,0.32193,0.00611324
213,C2,0.99661,0.00021,0.0,0.53072,0.02471,0.22446,0.37531,0.82718,0.32185,0.02242725
214,C2,0.86317,0.02609,0.06476,0.61164,0.02028,1.21198,0.75346,0.92475,0.2805,0.23686788
215,C2,0.77825,0.03244,0.19414,0.68587,0.0214,1.03819,0.86366,0.41661,0.29062,0.10856205
216,C2,0.52932,0.0007,0.0038,0.99332,0.00622,1.36864,0.39553,0.0,0.17224,1.5e-07
217,C2,0.64041,0.0,0.0,0.99333,0.00631,1.32465,0.37531,0.0,0.17282,1.4e-07
218,C2,0.38421,0.0,0.0,0.99333,0.00598,1.32465,0.37531,0.0,0.1707,1.4e-07
219,C2,0.32346,0.0,0.0,0.99333,0.00667,1.32465,0.37531,0.0,0.17513,1.4e-07
220,C2,0.80245,0.0,0.0,0.99333,0.00657,1.32465,0.37531,0.0,0.17449,1.4e-07
221,C2,0.80245,0.0,0.0,0.99333,0.00657,1.32465,0.37531,0.0,0.17449,1.4e-07
222,C2,0.60426,0.0,0.0,0.99333,0.0063,1.32465,0.37531,0.0,0.17276,1.4e-07
223,C2,0.49594,0.0,0.0,0.99333,0.00614,1.32465,0.37531,0.0,0.17173,1.4e-07
224,C2,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
225,C2,0.9957,0.00636,0.32595,0.48873,0.15788,0.37725,0.1775,0.52162,0.51165,0.01787092
226,C2,0.99656,0.0,0.0,0.06869,0.02851,0.22568,0.37531,0.0,0.35978,0.0
227,C2,0.95738,0.0,0.0,0.23575,0.02024,1.28783,0.37531,0.0001,0.28018,1.291e-05
228,C2,0.57338,0.0,0.0,0.99333,0.00617,1.32465,0.37531,0.0,0.1719,1.4e-07
229,C2,0.90901,0.0,0.0,0.67017,0.02009,1.32436,0.37531,0.52983,0.27883,0.07343017
230,C2,0.67632,0.0,0.0,0.63838,0.013,1.32465,0.37531,0.76622,0.22004,0.08381927
231,C2,0.67624,0.0,0.0,0.63838,0.01289,1.32465,0.37531,0.76622,0.21922,0.0835085
232,C2,0.99496,0.0,0.0,0.99333,0.00639,0.32666,0.37531,0.0,0.17334,3e-08
233,C2,0.46893,0.0,0.0,0.99333,0.00766,1.32465,0.37531,0.0,0.18173,1.4e-07
234,C2,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
235,C2,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
236,C2,0.96552,0.0,0.0,0.99333,0.0066,1.24299,0.37531,0.0,0.17472,1.3e-07
237,C2,0.59715,0.0,0.0,0.99333,0.00609,1.32465,0.37531,0.0,0.17138,1.4e-07
238,C2,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
239,C2,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
240,C2,0.99656,0.0,0.0,0.50594,0.01323,0.22568,0.37531,0.65146,0.22181,0.01223925
241,C2,0.95738,0.0,0.0,0.50594,0.0138,1.28783,0.37531,0.65146,0.22622,0.07123185
242,C2,0.90848,0.0,0.0,0.347,0.016,1.32437,0.37531,0.01439,0.24385,0.00174425
243,C2,0.80245,0.0,0.0,0.50594,0.01482,1.32465,0.37531,0.65146,0.23429,0.07588135
244,C2,0.95441,0.0,0.0,0.62249,0.01271,1.29718,0.37531,0.86846,0.21787,0.09211533
245,C2,0.82048,0.0,0.0,0.62249,0.01328,1.32465,0.37531,0.86846,0.22222,0.09594683
246,C2,0.64631,0.0,0.0,0.66487,0.01241,1.32465,0.37531,0.56964,0.21558,0.06105177
247,C2,0.52924,0.0,0.0,0.75493,0.01136,1.32465,0.37531,0.09156,0.20775,0.00945686
248,C2,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
249,C2,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
250,C2,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
251,C2,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
252,C2,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
253,C2,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
254,C2,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
255,C1,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
