model,seed,C,C_a,wH_a,wOPs_a,wOPt_a,wT_a,wG_a,mean_H,std_H,op_up,op_down,mi1,decay,tc_mean,gzip_ratio
trained,42,0.0,0.160553,0.099987,1.080839,0.999554,0.776323,0.994234,0.990676,0.012594,0.377731,0.991792,0.56847,0.516077,0.896395,0.707687
random,0,0.0,0.180364,0.126638,1.168411,0.999739,0.659646,0.995833,0.988113,0.011747,0.262738,0.981925,0.519831,0.516691,0.920781,0.691392
random,1,0.0,0.060806,0.047184,1.038177,0.999601,0.636844,0.993029,0.995468,0.006982,0.260584,0.995094,0.47051,0.464353,0.924715,0.717207
random,2,0.0,0.123243,0.093702,1.073928,0.999729,0.638417,0.993504,0.991258,0.012458,0.243646,0.991065,0.533054,0.531731,0.92445,0.713664
random,3,0.0,0.100709,0.143664,1.138314,0.0,0.619739,0.993683,0.986593,0.013028,0.330539,0.985805,0.0,0.0,0.927542,0.712268
random,4,0.0,0.079499,0.058654,1.059959,0.999234,0.661973,0.994314,0.994397,0.007998,0.340914,0.993777,0.437905,0.422724,0.920368,0.706981
random,5,0.0,0.163105,0.128896,1.020285,0.996656,0.631825,0.992977,0.987991,0.013112,0.145481,0.987572,0.354696,0.353985,0.925555,0.717584
random,6,0.0,0.110471,0.072301,1.051132,0.999366,0.749539,0.994147,0.993145,0.009392,0.34436,0.994677,0.442306,0.437333,0.90281,0.70844
random,7,0.0,0.103658,0.076657,1.140458,0.998498,0.636296,0.993552,0.992771,0.010386,0.322774,0.98554,0.397445,0.392096,0.924807,0.713295
random,8,0.0,0.088727,0.0708,1.051837,0.997767,0.615944,0.992678,0.993259,0.00865,0.34077,0.994592,0.376707,0.372671,0.928156,0.719676
random,9,0.0,0.133995,0.107938,1.021497,0.998271,0.618225,0.994185,0.989744,0.009357,0.157268,0.989558,0.388325,0.386797,0.927787,0.708108
random,10,0.0,0.065639,0.052975,1.095327,0.999657,0.594374,0.99506,0.994955,0.008481,0.32214,0.990117,0.479928,0.476028,0.93156,0.699933
random,11,0.0,0.067557,0.051636,1.05786,0.99608,0.640955,0.993805,0.995053,0.007438,0.29608,0.993671,0.346423,0.346288,0.924021,0.711283
random,12,0.0,0.227521,0.169816,1.137545,0.999198,0.630045,0.995221,0.984156,0.013491,0.158642,0.97785,0.431126,0.423538,0.925851,0.698273
random,13,0.0,0.205684,0.166087,1.147992,0.998837,0.581282,0.992385,0.984952,0.018755,0.337559,0.984852,0.409061,0.406507,0.93356,0.721646
random,14,0.0,0.086677,0.068642,1.054394,0.99954,0.61869,0.9937,0.993491,0.009352,0.355338,0.99439,0.45828,0.457791,0.927712,0.712126
random,15,0.0,0.175622,0.136113,1.104473,0.999336,0.61731,0.993503,0.987527,0.016199,0.238167,0.9878,0.437297,0.436996,0.927935,0.713672
random,16,0.0,0.300816,0.214194,1.195969,0.999666,0.643267,0.994355,0.980399,0.017858,0.325501,0.979837,0.483687,0.47732,0.923627,0.706618
random,17,0.0,0.074915,0.061593,1.064188,0.999024,0.592838,0.99439,0.994161,0.00935,0.337778,0.993338,0.417425,0.416176,0.931797,0.706311
random,18,0.0,0.315857,0.234387,1.180172,0.999506,0.621985,0.993999,0.979268,0.024633,0.275767,0.980954,0.454166,0.453284,0.927176,0.709693
random,19,0.0,0.133778,0.100654,1.094651,0.999092,0.639688,0.99235,0.990472,0.009944,0.322941,0.99019,0.42178,0.419391,0.924235,0.721878
random,20,0.0,0.139198,0.119677,1.042232,0.999152,0.573414,0.993639,0.988753,0.011439,0.152543,0.986662,0.434147,0.416168,0.934741,0.712617
random,21,0.0,0.07386,0.057318,1.040991,0.99864,0.636396,0.992754,0.99452,0.007839,0.341078,0.99568,0.399963,0.399513,0.924791,0.719149
random,22,0.0,0.064515,0.047497,1.089939,0.999656,0.654573,0.993058,0.995408,0.005838,0.327289,0.990692,0.477734,0.476908,0.921674,0.717001
random,23,0.0,0.096672,0.075613,1.05498,0.999616,0.626362,0.993457,0.992877,0.01057,0.346403,0.9943,0.488298,0.461269,0.926459,0.714032
random,24,0.0,0.053817,0.039236,1.054981,0.996325,0.673643,0.992598,0.99622,0.006439,0.318767,0.994155,0.351556,0.347715,0.918262,0.72022
random,25,0.0,0.124957,0.104188,1.095543,0.999532,0.576012,0.993824,0.990128,0.009815,0.220517,0.987987,0.457406,0.456566,0.934353,0.71113
random,26,0.0,0.057275,0.039982,1.041195,0.994296,0.70859,0.993197,0.996135,0.005847,0.30938,0.995467,0.32916,0.325948,0.911565,0.715985
random,27,0.0,0.061323,0.054058,1.060058,0.999726,0.55371,0.994614,0.994803,0.006845,0.326053,0.993692,0.52821,0.518848,0.937628,0.704266
random,28,0.0,0.085572,0.065814,1.09726,0.999733,0.623557,0.994357,0.993683,0.007205,0.327372,0.989954,0.507662,0.504239,0.92692,0.706607
random,29,0.0,0.049495,0.037305,1.04417,0.999721,0.654908,0.991185,0.996412,0.006681,0.328266,0.995298,0.497249,0.49674,0.921616,0.728993
random,30,0.0,0.165181,0.135527,1.134815,0.999604,0.575116,0.992886,0.987418,0.013836,0.324202,0.986125,0.467418,0.467416,0.934487,0.718228
random,31,0.0,0.150241,0.12209,1.095687,0.999382,0.591461,0.993081,0.988561,0.012011,0.315988,0.990039,0.441844,0.440315,0.932009,0.716833
random,32,0.0,0.270578,0.186977,1.201573,0.993064,0.66374,0.993446,0.982843,0.016803,0.249141,0.978139,0.319331,0.316136,0.920053,0.71411
random,33,0.0,0.121115,0.086886,1.099781,0.999172,0.667872,0.994381,0.991835,0.011109,0.373563,0.989873,0.425569,0.425133,0.919311,0.706387
random,34,0.0,0.046197,0.037114,1.064639,0.999419,0.606771,0.993869,0.996409,0.005669,0.306166,0.993088,0.447251,0.442145,0.929621,0.710762
random,35,0.0,0.109314,0.082728,1.188732,0.998438,0.608074,0.993538,0.992219,0.010906,0.339634,0.980665,0.393647,0.391793,0.929414,0.713407
random,36,0.0,0.239972,0.176983,1.16777,0.999506,0.629051,0.994556,0.983605,0.014893,0.263576,0.982009,0.454731,0.452899,0.926016,0.704807
random,37,0.0,0.339188,0.242904,1.216747,0.999545,0.63293,0.99546,0.978091,0.021175,0.235627,0.9761,0.468928,0.451919,0.925371,0.695695
random,38,0.0,0.055933,0.045206,1.099266,0.999662,0.593272,0.993613,0.995632,0.005944,0.333248,0.989783,0.532572,0.487369,0.93173,0.712821
random,39,0.0,0.108679,0.086103,1.069993,0.99219,0.616809,0.992314,0.991836,0.009522,0.341733,0.992773,0.312186,0.311316,0.928016,0.722109
random,40,0.0,0.154473,0.119437,1.028714,0.999163,0.641908,0.993574,0.988788,0.011645,0.158461,0.989016,0.426827,0.422964,0.923859,0.713122
random,41,0.0,0.053438,0.084911,1.072229,0.0,0.590335,0.994257,0.99196,0.009732,0.361121,0.992617,0.0,0.0,0.932182,0.707483
random,42,0.0,0.097278,0.078784,1.069073,0.996599,0.601615,0.993559,0.992537,0.009614,0.347345,0.992888,0.354702,0.352301,0.930432,0.713242
random,43,0.0,0.138216,0.107271,1.066323,0.999087,0.626837,0.995216,0.989885,0.010705,0.221549,0.990991,0.428383,0.413586,0.926381,0.698323
random,44,0.0,0.121123,0.084196,1.076627,0.999562,0.697901,0.992824,0.992119,0.011784,0.349251,0.992136,0.469164,0.455558,0.91368,0.718666
random,45,0.0,0.122841,0.092391,1.111547,0.998882,0.633565,0.994386,0.991314,0.011072,0.29295,0.988222,0.412518,0.407249,0.925265,0.706342
random,46,0.0,0.140062,0.106442,1.084718,0.999597,0.635482,0.993444,0.99005,0.012237,0.285244,0.990839,0.477527,0.459706,0.924944,0.714132
random,47,0.0,0.25524,0.188597,1.171118,0.999628,0.627125,0.994145,0.982513,0.014957,0.399798,0.982648,0.487204,0.464611,0.926334,0.708454
random,48,0.0,0.23665,0.188533,1.116654,0.997469,0.598204,0.992518,0.982571,0.015484,0.206794,0.985077,0.368458,0.368221,0.930965,0.720759
random,49,0.0,0.186224,0.144004,1.104508,0.999515,0.618621,0.993537,0.986849,0.016947,0.300948,0.98902,0.455571,0.454231,0.927723,0.713415
random,50,0.0,0.118588,0.097787,1.088268,0.999355,0.583771,0.995093,0.990917,0.013287,0.258796,0.990016,0.45247,0.429094,0.933184,0.699595
random,51,0.0,0.107338,0.080902,1.076516,0.999525,0.644346,0.991829,0.992329,0.009463,0.295842,0.991793,0.458057,0.454541,0.923443,0.725181
random,52,0.0,0.352848,0.252872,1.210524,0.995572,0.636661,0.993468,0.977201,0.021499,0.213768,0.975739,0.342625,0.337969,0.924746,0.713943
random,53,0.0,0.192302,0.152244,1.154606,0.99973,0.589681,0.994291,0.986026,0.016138,0.358298,0.984256,0.532279,0.530548,0.932282,0.70719
random,54,0.0,0.276843,0.192879,1.30666,0.992074,0.628224,0.993903,0.982531,0.019309,0.25841,0.967059,0.312741,0.309331,0.926152,0.710485
random,55,0.0,0.187901,0.145727,1.036368,0.941883,0.655895,0.99374,0.986438,0.013551,0.159015,0.988328,0.210281,0.209908,0.921443,0.711814
random,56,0.0,0.060722,0.051298,1.080527,0.999724,0.572327,0.994231,0.995067,0.00678,0.323815,0.99162,0.499145,0.498035,0.934902,0.707715
random,57,0.0,0.058548,0.047244,1.076726,0.998878,0.601348,0.992884,0.995441,0.006168,0.298671,0.991801,0.409709,0.40945,0.930474,0.718242
random,58,0.0,0.167952,0.127354,1.1221,0.999496,0.625225,0.994199,0.988161,0.013482,0.325635,0.987427,0.452908,0.452355,0.926646,0.707985
random,59,0.0,0.188135,0.131174,1.137853,0.991631,0.6768,0.995149,0.987772,0.013034,0.304357,0.985664,0.308288,0.308267,0.917681,0.699015
random,60,0.0,0.259765,0.17784,1.182504,0.999689,0.672819,0.994854,0.983973,0.019949,0.431887,0.981504,0.51413,0.484994,0.918412,0.701981
random,61,0.0,0.095648,0.069596,1.058059,0.999503,0.672651,0.993005,0.993391,0.0091,0.268568,0.993259,0.468651,0.443986,0.918443,0.71738
random,62,0.0,0.143526,0.105247,1.099148,0.999514,0.653296,0.994644,0.990235,0.013568,0.400111,0.989984,0.45751,0.452412,0.921897,0.703987
random,63,0.0,0.062414,0.051313,1.034349,0.836883,0.65435,0.993378,0.99505,0.006235,0.304874,0.996114,0.15567,0.155583,0.921713,0.714632
random,64,0.0,0.055066,0.051971,1.054979,0.999562,0.5189,0.993862,0.995018,0.007338,0.328386,0.994215,0.461286,0.460641,0.942517,0.710826
random,65,0.0,0.298447,0.20756,1.169168,0.99968,0.666882,0.994134,0.981035,0.01799,0.248876,0.981506,0.490344,0.480115,0.919489,0.708549
random,66,0.0,0.090604,0.07384,1.055489,0.998444,0.601348,0.993441,0.992974,0.00879,0.237514,0.992723,0.393667,0.392161,0.930474,0.714149
random,67,0.0,0.086736,0.134184,1.081209,0.0,0.601473,0.993974,0.987548,0.013899,0.181266,0.98661,0.0,0.0,0.930455,0.7099
random,68,0.0,0.077524,0.117701,1.071675,0.0,0.61881,0.993201,0.988941,0.011452,0.198802,0.989107,0.0,0.0,0.927693,0.715951
random,69,0.0,0.027725,0.025799,1.034206,0.995198,0.532767,0.993931,0.997475,0.003633,0.318468,0.996235,0.338233,0.33419,0.9406,0.710254
random,70,0.0,0.096229,0.071733,1.113494,0.999733,0.638268,0.994573,0.993209,0.009673,0.330945,0.988331,0.514936,0.508183,0.924475,0.704643
random,71,0.0,0.124791,0.097801,1.06561,0.999686,0.620615,0.995485,0.990747,0.010018,0.227258,0.991316,0.485848,0.483889,0.9274,0.695421
random,72,0.0,0.171685,0.130262,1.102963,0.982436,0.636711,0.992618,0.988002,0.015191,0.324895,0.989363,0.271711,0.270242,0.924738,0.720084
random,73,0.0,0.08527,0.064971,1.063542,0.999643,0.641153,0.99214,0.99383,0.009072,0.332848,0.993379,0.474872,0.474258,0.923987,0.723237
random,74,0.0,0.043716,0.034037,1.049992,0.999675,0.63112,0.992857,0.996694,0.005004,0.331796,0.994734,0.508224,0.47795,0.925672,0.718435
random,75,0.0,0.07874,0.055588,1.136017,0.999697,0.666897,0.994511,0.994667,0.007222,0.347043,0.986116,0.487917,0.487576,0.919487,0.705212
random,76,0.0,0.066457,0.055629,1.065521,0.998224,0.582758,0.993327,0.99465,0.006811,0.30571,0.992995,0.388747,0.383796,0.933337,0.71502
random,77,0.0,0.150981,0.108384,1.139926,0.994782,0.656594,0.993846,0.98991,0.013004,0.345551,0.985711,0.340158,0.324997,0.92132,0.710951
random,78,0.0,0.084708,0.063219,1.08814,0.999506,0.645779,0.993876,0.993964,0.008111,0.258283,0.990017,0.45465,0.452881,0.923198,0.710709
random,79,0.0,0.422304,0.305004,1.270082,0.999144,0.613079,0.995234,0.972524,0.023124,0.357047,0.972133,0.426394,0.421062,0.928616,0.698136
random,80,0.0,0.112289,0.085028,1.062287,0.999649,0.644215,0.994182,0.991936,0.009462,0.25823,0.992621,0.475829,0.475649,0.923465,0.708133
random,81,0.0,0.024458,0.036336,1.060362,0.0,0.638764,0.993795,0.996486,0.005725,0.312979,0.993573,0.0,0.0,0.924392,0.71137
random,82,0.0,0.034065,0.030109,1.033661,0.999555,0.558701,0.995995,0.997065,0.00436,0.289505,0.996022,0.486878,0.44794,0.936906,0.689403
random,83,0.0,0.525989,0.357476,1.30666,0.999582,0.641662,0.994304,0.968586,0.029493,0.461879,0.968288,0.470184,0.459832,0.923901,0.70707
random,84,0.0,0.052601,0.03939,1.025692,0.999169,0.664769,0.99206,0.996187,0.005606,0.266993,0.996475,0.425762,0.424605,0.919869,0.723742
random,85,0.0,0.124568,0.097442,1.079728,0.998889,0.618604,0.994202,0.990794,0.010247,0.248959,0.990633,0.411666,0.408575,0.927726,0.707963
random,86,0.0,0.04737,0.037532,1.034615,0.991423,0.626566,0.994232,0.996381,0.006275,0.295522,0.995995,0.309056,0.305107,0.926426,0.707701
random,87,0.0,0.224807,0.159419,1.1334,0.999463,0.665407,0.99362,0.985359,0.01616,0.401846,0.986513,0.449012,0.448792,0.919754,0.712765
random,88,0.0,0.224475,0.164901,1.177863,0.996561,0.630129,0.99351,0.984651,0.013829,0.256412,0.980803,0.35365,0.352227,0.925837,0.713619
random,89,0.0,0.190773,0.153449,1.114426,0.998461,0.592494,0.993093,0.985915,0.016159,0.409334,0.988449,0.394041,0.392891,0.93185,0.716747
random,90,0.0,0.293237,0.199953,1.181485,0.999559,0.676891,0.99336,0.981783,0.01836,0.304338,0.981179,0.462076,0.459427,0.917665,0.714771
random,91,0.0,0.222889,0.163563,1.145157,0.998591,0.638797,0.9951,0.984779,0.013845,0.20067,0.981734,0.403389,0.393092,0.924386,0.699523
random,92,0.0,0.080519,0.064367,1.114299,0.998349,0.595114,0.994963,0.993889,0.009099,0.349144,0.988332,0.39035,0.389424,0.931445,0.700904
random,93,0.0,0.326268,0.223396,1.193973,0.999152,0.669999,0.993941,0.980044,0.022518,0.454557,0.980327,0.425391,0.42294,0.918926,0.71017
random,94,0.0,0.26892,0.200628,1.158104,0.998489,0.625378,0.993848,0.981807,0.019234,0.328174,0.983766,0.398962,0.390263,0.926621,0.710938
random,95,0.0,0.165318,0.118183,1.058604,0.999374,0.683874,0.993908,0.98905,0.013975,0.20753,0.991013,0.443287,0.437918,0.916364,0.710446
random,96,0.0,0.047172,0.035515,1.031327,0.998952,0.658968,0.992763,0.996561,0.005528,0.332085,0.996605,0.415306,0.411037,0.920901,0.719088
random,97,0.0,0.075955,0.062056,1.049034,0.999327,0.601615,0.993227,0.994038,0.007006,0.288929,0.994474,0.436492,0.436339,0.930432,0.715762
random,98,0.0,0.077669,0.061229,1.033841,0.999533,0.627903,0.99353,0.994148,0.007929,0.206109,0.993416,0.472596,0.447826,0.926205,0.713465
random,99,0.0,0.067317,0.052003,1.051285,0.999387,0.635282,0.993645,0.995034,0.008005,0.340196,0.994644,0.447942,0.436407,0.924978,0.712567
