threshold,regime,peak_C_A,peak_t_A,peak_C_B,peak_t_B,final_C_A,mapping_agree
0.0,mixed,0.14369509668360297,2,0.14107015855884536,2,0.14369509668360297,True
0.01,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.02,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.03,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.04,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.05,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.06,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.07,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.08,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.09,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.1,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.11,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.12,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.13,mixed,0.31030890858875004,2,0.30552941548433055,2,0.1479331919586214,True
0.14,mixed,0.31030890858875004,2,0.30552941548433055,2,0.1479331919586214,True
0.15,mixed,0.42783252686954476,2,0.4455037594280237,2,0.14518362747797278,True
0.16,mixed,0.42783252686954476,2,0.4455037594280237,2,0.14518362747797278,True
0.17,mixed,0.5553347271592728,2,0.5676209985914118,2,0.14115790938965672,True
0.18,mixed,0.5553347271592728,2,0.5676209985914118,2,0.14115790938965672,True
0.19,mixed,0.5553347271592728,2,0.5676209985914118,2,0.14115790938965672,True
0.2,mixed,0.5553347271592728,2,0.5676209985914118,2,0.14115790938965672,True
0.21,mixed,0.6263744302593205,2,0.6326690198682499,2,0.14403780873261884,True
0.22,mixed,0.6263744302593205,2,0.6326690198682499,2,0.14403780873261884,True
0.23,mixed,0.6263744302593205,2,0.6326690198682499,2,0.14403780873261884,True
0.24,mixed,0.6263744302593205,2,0.6326690198682499,2,0.14403780873261884,True
0.25,mixed,0.6263744302593205,2,0.6326690198682499,2,0.14403780873261884,True
0.26,mixed,0.7015272966982565,2,0.6927373055365047,2,0.14080859223152817,True
0.27,mixed,0.7015272966982565,2,0.6927373055365047,2,0.14080859223152817,True
0.28,mixed,0.7015272966982565,2,0.6927373055365047,2,0.14080859223152817,True
0.29,mixed,0.7821536024052944,2,0.7670952916065259,2,0.09274408189510652,True
0.3,transition,0.7821536024052944,2,0.7670952916065259,2,0.09274408189510652,True
0.31,transition,0.7821536024052944,2,0.7670952916065259,2,0.09274408189510652,True
0.32,transition,0.7821536024052944,2,0.7670952916065259,2,0.09274408189510652,True
0.33,transition,0.7821536024052944,2,0.7670952916065259,2,0.09274408189510652,True
0.34,transition,0.8288949621942547,2,0.8123205291630358,2,0.0459523684717594,True
0.35,transition,0.8288949621942547,2,0.8123205291630358,2,0.0459523684717594,True
0.36,transition,0.8288949621942547,2,0.8123205291630358,2,0.0459523684717594,True
0.37,transition,0.8288949621942547,2,0.8123205291630358,2,0.0459523684717594,True
0.38,transition,0.825733937172556,2,0.8171684856989707,2,0.022581901686517615,True
0.39,transition,0.825733937172556,2,0.8171684856989707,2,0.022581901686517615,True
0.4,transition,0.825733937172556,2,0.8171684856989707,2,0.022581901686517615,True
0.41,transition,0.8121192123046427,3,0.8069313769911286,3,0.012160377680865624,True
0.42,transition,0.8121192123046427,3,0.8069313769911286,3,0.012160377680865624,True
0.43,transition,0.8304883212487487,3,0.8325918927110741,4,0.049061691714885565,True
0.44,transition,0.8304883212487487,3,0.8325918927110741,4,0.049061691714885565,True
0.45,transition,0.8304883212487487,3,0.8325918927110741,4,0.049061691714885565,True
0.46,transition,0.8304883212487487,3,0.8325918927110741,4,0.049061691714885565,True
0.47,transition,0.8304883212487487,3,0.8325918927110741,4,0.049061691714885565,True
0.48,transition,0.8304883212487487,3,0.8325918927110741,4,0.049061691714885565,True
0.49,transition,0.8304883212487487,3,0.8325918927110741,4,0.049061691714885565,True
0.5,transition,0.8304883212487487,3,0.8325918927110741,4,0.049061691714885565,True
0.51,segregated,0.9675294184765694,7,0.961266078934249,8,0.3297133634995862,True
0.52,segregated,0.9675294184765694,7,0.961266078934249,8,0.3297133634995862,True
0.53,segregated,0.9675294184765694,7,0.961266078934249,8,0.3297133634995862,True
0.54,segregated,0.9675294184765694,7,0.961266078934249,8,0.3297133634995862,True
0.55,segregated,0.9675294184765694,7,0.961266078934249,8,0.3297133634995862,True
0.56,segregated,0.9675294184765694,7,0.961266078934249,8,0.3297133634995862,True
0.57,segregated,0.9675294184765694,7,0.961266078934249,8,0.3297133634995862,True
0.58,segregated,1.0203787232382708,10,0.9934782667005375,9,0.7225461816364545,True
0.59,segregated,1.0203787232382708,10,0.9934782667005375,9,0.7225461816364545,True
0.6,segregated,1.0203787232382708,10,0.9934782667005375,9,0.7225461816364545,True
0.61,segregated,1.0778500666862583,11,1.0749042135234093,11,0.8519542092662273,True
0.62,segregated,1.0778500666862583,11,1.0749042135234093,11,0.8519542092662273,True
0.63,segregated,1.0754043553235566,13,1.091813476786341,13,0.9802105793731591,True
0.64,segregated,1.0754043553235566,13,1.091813476786341,13,0.9802105793731591,True
0.65,segregated,1.0754043553235566,13,1.091813476786341,13,0.9802105793731591,True
0.66,segregated,1.0754043553235566,13,1.091813476786341,13,0.9802105793731591,True
0.67,segregated,0.7605987574349806,17,0.7538290281282263,17,0.7605987574349806,True
0.68,segregated,0.7605987574349806,17,0.7538290281282263,17,0.7605987574349806,True
0.69,segregated,0.7605987574349806,17,0.7538290281282263,17,0.7605987574349806,True
0.7,segregated,0.7605987574349806,17,0.7538290281282263,17,0.7605987574349806,True
0.71,segregated,0.7605987574349806,17,0.7538290281282263,17,0.7605987574349806,True
0.72,segregated,0.1437991840817275,17,0.13535680649147594,17,0.1437991840817275,True
0.73,segregated,0.1437991840817275,17,0.13535680649147594,17,0.1437991840817275,True
0.74,segregated,0.1437991840817275,17,0.13535680649147594,17,0.1437991840817275,True
0.75,segregated,0.1437991840817275,17,0.13535680649147594,17,0.1437991840817275,True
0.76,segregated,0.04646160889098109,5,0.04789821812892993,6,0.04335715748405812,True
0.77,segregated,0.04646160889098109,5,0.04789821812892993,6,0.04335715748405812,True
0.78,segregated,0.04646160889098109,5,0.04789821812892993,6,0.04335715748405812,True
0.79,segregated,0.04646160889098109,5,0.04789821812892993,6,0.04335715748405812,True
0.8,segregated,0.04646160889098109,5,0.04789821812892993,6,0.04335715748405812,True
0.81,segregated,0.03721793283480658,17,0.03786116966248791,9,0.03721793283480658,True
0.82,segregated,0.03721793283480658,17,0.03786116966248791,9,0.03721793283480658,True
0.83,segregated,0.03721793283480658,17,0.03786116966248791,9,0.03721793283480658,True
0.84,segregated,0.026926567300058796,14,0.02625022673255324,17,0.02659141948113656,True
0.85,segregated,0.026926567300058796,14,0.02625022673255324,17,0.02659141948113656,True
0.86,segregated,0.0210015539627759,15,0.02087567688183622,15,0.02061115538381968,True
0.87,segregated,0.0210015539627759,15,0.02087567688183622,15,0.02061115538381968,True
0.88,segregated,0.021230648038809714,17,0.020663916371248287,14,0.021230648038809714,True
0.89,segregated,0.021230648038809714,17,0.020663916371248287,14,0.021230648038809714,True
0.9,segregated,0.021230648038809714,17,0.020663916371248287,14,0.021230648038809714,True
0.91,segregated,0.021230648038809714,17,0.020663916371248287,14,0.021230648038809714,True
0.92,segregated,0.021230648038809714,17,0.020663916371248287,14,0.021230648038809714,True
0.93,segregated,0.021230648038809714,17,0.020663916371248287,14,0.021230648038809714,True
0.94,segregated,0.021230648038809714,17,0.020663916371248287,14,0.021230648038809714,True
0.95,segregated,0.021230648038809714,17,0.020663916371248287,14,0.021230648038809714,True
0.96,segregated,0.021230648038809714,17,0.020663916371248287,14,0.021230648038809714,True
0.97,segregated,0.021230648038809714,17,0.020663916371248287,14,0.021230648038809714,True
0.98,segregated,0.021230648038809714,17,0.020663916371248287,14,0.021230648038809714,True
0.99,segregated,0.021230648038809714,17,0.020663916371248287,14,0.021230648038809714,True
1.0,segregated,0.021230648038809714,17,0.020663916371248287,14,0.021230648038809714,True
