mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,score,w_H,w_OP_s,w_OP_t,w_T,w_G,rule,class,rank
0.983619,0.013996,0.143477,0.970049,0.017336,0.014753,0.578996,0.12104,1.23019,1.328398,0.999395,0.02514,0.999921,0.91527,124,C4,1
0.983371,0.013233,0.140338,0.970185,0.015989,0.013077,0.577653,0.123716,1.222249,1.354481,0.999987,0.020615,0.99957,0.89361,137,C4,2
0.983699,0.013876,0.154565,0.970177,0.017109,0.014899,0.579556,0.125093,1.171578,1.326495,0.989442,0.02506,0.999985,0.881672,193,C4,3
0.984389,0.012841,0.116386,0.970753,0.016759,0.014961,0.579369,0.123982,1.142649,1.302421,0.972393,0.024658,0.999969,0.89134,110,C4,4
0.99183,0.00772,0.194887,0.969499,0.072315,0.0,0.663813,0.080453,0.409038,0.722806,0.860126,0.0,0.710178,0.926432,73,C2,5
0.993762,0.006318,0.19232,0.963674,0.113013,0.0,0.686338,0.08384,0.379873,0.536934,0.865133,0.0,0.861624,0.949111,109,C2,6
0.995291,0.003797,0.119717,0.993565,0.002163,0.001121,0.502933,0.086676,0.195722,0.367865,0.876667,0.000242,0.62876,0.965115,210,C2,7
0.995033,0.003872,0.119925,0.993035,0.001753,0.000716,0.506498,0.072364,0.192783,0.38862,0.88137,0.000126,0.655684,0.858349,154,C2,8
0.997963,0.001733,0.170779,0.996751,0.000959,0.000541,0.497431,0.08008,0.065476,0.146077,0.82655,5.2e-05,0.587061,0.923706,180,C2,9
0.997219,0.002322,0.22892,0.995596,0.000601,0.000351,0.493822,0.078302,0.061596,0.204653,0.590746,2.1e-05,0.559784,0.910138,166,C2,10
0.958191,0.018743,0.244219,0.911807,0.049272,0.045292,0.405591,0.092658,0.048879,1.649834,0.295125,0.193637,0.09288,0.989276,82,C2,11
0.91534,0.0,0.0,0.907873,0.045705,0.035905,0.659573,0.019156,0.045176,1.324095,0.173436,0.147283,0.678756,0.270586,74,C2,12
0.909013,0.0,0.0,0.899933,0.055251,0.049258,0.670169,0.020089,0.043517,1.324356,0.140593,0.229227,0.756034,0.278829,229,C2,13
0.902458,0.0,0.0,0.894623,0.064692,0.063091,0.686062,0.018044,0.041117,1.324499,0.120472,0.318221,0.86,0.260972,173,C2,14
0.957381,0.0,0.0,0.915761,0.003628,0.001942,0.505938,0.013796,0.039564,1.287829,0.208383,0.000704,0.651465,0.226221,241,C2,15
0.957381,0.0,0.0,0.915041,0.003691,0.001206,0.505938,0.013458,0.03849,1.287829,0.205132,0.000445,0.651465,0.223597,171,C2,16
0.945946,0.0,0.0,0.911499,0.005177,0.002434,0.505938,0.013733,0.036567,1.312805,0.189289,0.001259,0.651465,0.225736,112,C2,17
0.945946,0.0,0.0,0.910283,0.005214,0.003711,0.505938,0.013449,0.035195,1.312805,0.183927,0.001932,0.651465,0.223528,42,C2,18
0.957557,0.022955,0.244103,0.907268,0.049733,0.046495,0.403804,0.073369,0.030095,1.352189,0.26476,0.199698,0.088444,0.867757,167,C2,19
0.954414,0.0,0.0,0.892086,0.030881,0.027538,0.61984,0.012436,0.028645,1.297184,0.111456,0.080415,0.883378,0.215778,174,C2,20
0.956145,0.0,0.0,0.891236,0.032846,0.026522,0.61984,0.012382,0.027753,1.292057,0.108528,0.082194,0.883378,0.215375,208,C2,21
0.956145,0.0,0.0,0.890751,0.035425,0.031557,0.622489,0.012356,0.027112,1.292057,0.106876,0.103913,0.868455,0.215174,138,C2,22
0.962461,0.017016,0.298619,0.914739,0.044922,0.041309,0.406284,0.091031,0.026962,1.738183,0.154316,0.16475,0.094648,0.984041,181,C2,23
0.995101,0.006239,0.295079,0.995935,0.000723,0.000608,0.482249,0.158204,0.026904,0.425515,0.262633,4.4e-05,0.47402,0.507859,120,C2,24
0.954414,0.0,0.0,0.889873,0.033409,0.028958,0.622489,0.012711,0.02664,1.297184,0.103928,0.090777,0.868455,0.217867,244,C2,25
0.995103,0.006398,0.316227,0.99579,0.000812,0.000727,0.498409,0.156533,0.024876,0.427943,0.185291,5.9e-05,0.594469,0.527713,106,C3,26
0.963504,0.019132,0.291842,0.914959,0.048473,0.046351,0.4016,0.076364,0.022241,1.587355,0.172269,0.194835,0.083205,0.894288,26,C2,27
0.99537,0.006179,0.314246,0.996262,0.000483,0.000365,0.490907,0.156773,0.021666,0.40203,0.190895,1.8e-05,0.537876,0.52485,169,C3,28
0.995696,0.006363,0.325946,0.996414,0.000446,0.000422,0.488729,0.157884,0.015544,0.377252,0.15438,1.9e-05,0.521621,0.511646,225,C2,29
0.995442,0.006372,0.333234,0.996792,0.000159,7e-05,0.500409,0.162231,0.015011,0.398919,0.133918,1e-06,0.609631,0.460915,135,C2,30
0.994725,0.007849,0.340563,0.996344,0.000233,0.000148,0.495076,0.161849,0.014905,0.483134,0.116475,3e-06,0.569242,0.465307,105,C3,31
0.99507,0.006684,0.335586,0.996566,8.3e-05,6.5e-05,0.495253,0.161947,0.014788,0.435381,0.128241,1e-06,0.570585,0.464182,86,C3,32
0.995551,0.006396,0.33498,0.9968,0.000204,0.00012,0.500871,0.161449,0.01455,0.390122,0.129444,2e-06,0.613135,0.46992,89,C3,33
0.995292,0.006519,0.332643,0.996839,4.8e-05,3.4e-05,0.493778,0.16232,0.014418,0.41393,0.135384,0.0,0.559449,0.459895,30,C3,34
0.994725,0.007849,0.344869,0.996364,0.000231,0.000148,0.498258,0.161564,0.014334,0.483134,0.106717,3e-06,0.593324,0.468586,150,C3,35
0.995408,0.006348,0.331984,0.996966,0.000118,7.6e-05,0.492649,0.161662,0.014157,0.401445,0.136924,1e-06,0.55095,0.467458,101,C3,36
0.995544,0.006546,0.335571,0.996878,0.000122,4.8e-05,0.498116,0.162231,0.013712,0.392893,0.127852,1e-06,0.592246,0.460915,149,C2,37
0.995491,0.005907,0.333104,0.996903,0.000127,0.0001,0.494613,0.161849,0.013682,0.38759,0.134095,1e-06,0.565752,0.465307,90,C2,38
0.995491,0.005907,0.333104,0.996903,0.000127,0.0001,0.494613,0.161849,0.013682,0.38759,0.134095,1e-06,0.565752,0.465307,165,C3,39
0.995508,0.006439,0.337565,0.996837,0.000177,0.000161,0.498507,0.161396,0.013586,0.394428,0.122992,3e-06,0.59521,0.470536,75,C2,40
0.995173,0.006699,0.339757,0.996624,6e-05,3.4e-05,0.495911,0.162116,0.013402,0.426843,0.118018,0.0,0.575557,0.462241,195,C2,41
0.995173,0.006699,0.339757,0.996624,6e-05,3.4e-05,0.495911,0.162116,0.013402,0.426843,0.118018,0.0,0.575557,0.462241,60,C2,42
0.995173,0.006699,0.339757,0.996624,0.000116,7.3e-05,0.495911,0.162142,0.013393,0.426843,0.118018,1e-06,0.575557,0.461935,153,C3,43
0.995173,0.006699,0.339757,0.996624,0.000116,7.3e-05,0.495911,0.162142,0.013393,0.426843,0.118018,1e-06,0.575557,0.461935,102,C2,44
0.995512,0.006595,0.33909,0.996951,0.000108,6.2e-05,0.495973,0.161964,0.012627,0.396409,0.119181,1e-06,0.576027,0.463978,45,C3,45
0.973625,0.008647,0.05784,0.93767,0.071396,0.0,0.369236,0.030542,0.01139,1.66009,0.578934,0.0,0.031103,0.38103,125,C2,46
0.871809,0.0,0.0,0.862832,0.041969,0.034361,0.670169,0.020107,0.011215,1.324645,0.037742,0.131179,0.756034,0.278987,88,C2,47
0.996559,0.0,0.0,0.9913,0.004141,0.003238,0.505938,0.013227,0.011185,0.225677,0.342755,0.00134,0.651465,0.221813,240,C2,48
0.996559,0.0,0.0,0.9913,0.004141,0.003238,0.505938,0.0132,0.011175,0.225677,0.342755,0.00134,0.651465,0.221607,170,C2,49
0.973622,0.011988,0.101586,0.927172,0.086755,0.019183,0.356373,0.030667,0.009124,1.733031,0.643637,0.132679,0.020102,0.382349,9,C2,50
0.927969,0.047244,0.348213,0.896512,0.021122,0.020829,0.464533,0.148533,0.008731,0.998573,0.038862,0.042736,0.352888,0.624317,22,C2,51
0.925096,0.050357,0.357819,0.893973,0.019581,0.019553,0.470009,0.147787,0.007351,0.998894,0.029355,0.037331,0.388617,0.633362,151,C2,52
0.996559,0.0,0.326755,0.950058,0.08679,0.0,0.622489,0.008453,0.005921,0.225677,0.161474,0.0,0.868455,0.187091,29,C2,53
0.996559,0.0,0.327851,0.9913,0.00428,0.003559,0.487396,0.023591,0.005624,0.225677,0.156432,0.001522,0.511725,0.311093,15,C2,54
0.996559,0.0,0.328049,0.947709,0.027817,0.0,0.625138,0.008409,0.005555,0.225677,0.15451,0.0,0.852848,0.186787,71,C2,55
0.996559,0.0,0.327851,0.9913,0.00428,0.003559,0.487396,0.023093,0.005539,0.225677,0.156432,0.001522,0.511725,0.306381,85,C2,56
0.856668,0.015327,0.066129,0.822395,0.004538,0.001386,0.619707,0.020489,0.004669,1.917139,0.009752,0.000628,0.88411,0.282408,211,C2,57
0.853706,0.012762,0.132179,0.817406,0.004974,0.003215,0.622364,0.019867,0.004549,1.995474,0.009466,0.001597,0.869172,0.276853,155,C2,58
0.976072,0.007374,0.003849,0.930753,0.084065,5e-05,0.354311,0.027324,0.002907,1.53692,0.290857,0.000346,0.018698,0.347724,65,C2,59
0.856775,0.013127,0.0,0.824523,0.004599,0.002743,0.619831,0.019787,0.002646,1.99013,0.005447,0.00126,0.883427,0.276143,38,C2,60
0.938818,0.043576,0.35884,0.913057,0.083921,0.079947,0.381813,0.108818,0.002622,0.996017,0.04769,0.454923,0.046487,0.98457,97,C2,61
0.853906,0.008735,0.0,0.820327,0.004985,0.004075,0.622489,0.020258,0.00199,1.920099,0.004252,0.002028,0.868455,0.280337,52,C2,62
0.937575,0.048498,0.370822,0.910928,0.089115,0.082553,0.379564,0.105067,0.001813,0.996148,0.034671,0.482755,0.043342,0.994879,41,C2,63
0.936801,0.050694,0.365091,0.909396,0.092214,0.087848,0.375644,0.113298,0.001725,0.996414,0.038088,0.512946,0.038289,0.965252,107,C2,64
0.911862,0.007775,0.0,0.886487,0.587236,0.0,0.924462,0.008098,0.001673,1.86926,0.093024,0.0,0.052113,0.184667,108,C2,65
0.974876,0.018449,0.130039,0.906588,0.117218,0.084627,0.3232,0.025858,0.001574,1.4642,0.445227,0.568499,0.005788,0.333066,111,C2,66
0.990376,0.012939,0.376938,0.84658,0.000227,0.000175,0.494169,0.119618,0.001332,0.891324,0.00287,4e-06,0.562398,0.925916,122,C2,67
0.938398,0.046837,0.382683,0.90855,0.095544,0.090403,0.371262,0.105733,0.001007,0.995861,0.024724,0.533117,0.033239,0.993447,121,C2,68
0.860953,0.019869,0.064756,0.799538,0.003946,0.000849,0.614338,0.020382,0.000936,1.616452,0.002255,0.000335,0.911999,0.281451,148,C2,69
0.869965,0.042246,0.123811,0.800298,0.002849,0.000476,0.601102,0.020836,0.000859,1.000783,0.003111,0.000136,0.965809,0.285532,134,C2,70
0.863166,0.026091,0.064756,0.801933,0.003568,0.001116,0.611644,0.020276,0.000834,1.211983,0.002652,0.000398,0.92475,0.280496,214,C2,71
0.990745,0.01306,0.397315,0.84423,0.000201,0.000162,0.496933,0.118302,0.000725,0.860877,0.001543,3e-06,0.583292,0.935201,161,C2,72
0.990239,0.014126,0.400469,0.843777,8.6e-05,7.5e-05,0.496267,0.11752,0.000672,0.88965,0.00139,1e-06,0.578246,0.940456,126,C2,73
0.990239,0.014126,0.409831,0.843703,8.6e-05,7.5e-05,0.496267,0.11752,0.000523,0.88965,0.00108,1e-06,0.578246,0.940456,129,C2,74
0.854412,0.035507,0.12846,0.792955,0.004527,0.001212,0.619636,0.019929,0.000468,1.01334,0.001882,0.000548,0.8845,0.277405,158,C2,75
0.99101,0.004546,0.003841,0.976751,0.110175,0.031111,0.315138,0.029369,0.000466,0.69453,0.392161,0.2415,0.004167,0.368708,67,C2,76
0.953767,0.0,0.0,0.806447,0.02994,0.024945,0.61984,0.012338,0.000455,1.298887,0.001782,0.071064,0.883378,0.21504,46,C2,77
0.990803,0.005325,0.0,0.975398,0.114658,0.034792,0.312196,0.031787,0.000449,0.733556,0.37313,0.273184,0.003687,0.394312,25,C2,78
0.953767,0.0,0.0,0.805418,0.030007,0.023503,0.61984,0.013804,0.000447,1.298887,0.001666,0.067247,0.883378,0.226291,209,C2,79
0.951228,0.0,0.0,0.805081,0.03135,0.028687,0.622489,0.0136,0.000432,1.304621,0.001629,0.084786,0.868455,0.224699,116,C2,80
0.990707,0.006636,0.003838,0.971459,0.120436,0.054568,0.305707,0.032018,0.000408,0.780351,0.39557,0.415217,0.002801,0.396803,103,C2,81
0.989821,0.006093,0.00384,0.973957,0.117775,0.040194,0.309298,0.024569,0.000391,0.826311,0.394514,0.315494,0.003263,0.320469,61,C2,82
0.873733,0.07183,0.249924,0.831132,0.029107,0.0,0.425147,0.008204,0.000329,0.999993,0.01155,0.0,0.1536,0.185392,5,C2,83
0.951228,0.0,0.0,0.801021,0.031119,0.023164,0.622489,0.0128,0.000318,1.304621,0.001242,0.068622,0.868455,0.218544,139,C2,84
0.887888,0.005951,0.0,0.858148,0.723402,0.0,0.944329,0.007787,0.000272,1.7513,0.03074,0.0,0.027631,0.182563,201,C2,85
0.957381,0.0,0.0,0.897418,1.0,0.0,0.993333,0.006667,0.000131,1.287829,0.130858,0.0,0.004438,0.175131,205,C2,86
0.865247,0.073657,0.241796,0.819332,0.033556,0.0,0.403956,0.008124,0.000104,0.999997,0.006356,0.0,0.088813,0.184848,95,C2,87
0.945946,0.0,0.0,0.879723,1.0,0.0,0.993333,0.006693,7.5e-05,1.312805,0.073536,0.0,0.004438,0.175305,76,C2,88
0.996559,0.0,0.0,0.9913,1.0,0.0,0.993333,0.006853,6.1e-05,0.225677,0.342755,0.0,0.004438,0.176354,204,C2,89
0.97905,0.010108,0.058713,0.791005,0.502989,0.0,0.889156,0.013387,5.6e-05,1.540152,0.001185,0.0,0.138215,0.223047,94,C2,90
0.820475,0.0,0.0,0.775672,0.00177,0.001405,0.61984,0.013253,5.1e-05,1.324652,0.000197,0.000249,0.883378,0.222018,80,C2,91
0.953669,0.013061,0.269623,0.832211,0.153,0.003704,0.328987,0.028818,5.1e-05,1.952889,0.009684,0.033707,0.007281,0.362989,131,C2,92
0.820475,0.0,0.0,0.775672,0.001785,0.001421,0.61984,0.013013,5.1e-05,1.324652,0.000197,0.000254,0.883378,0.220174,175,C2,93
0.989754,3.1e-05,0.319665,0.837415,0.046177,0.03243,0.373476,0.028098,5e-05,0.625767,0.005918,0.135238,0.035714,0.355587,81,C2,94
0.985536,0.0,0.313413,0.831137,0.048926,0.043868,0.370844,0.027884,4.9e-05,0.819821,0.0047,0.187144,0.032789,0.353408,11,C2,95
0.820475,0.0,0.0,0.774278,0.003414,0.001185,0.622489,0.01328,4.5e-05,1.324652,0.000177,0.000404,0.868455,0.222223,245,C2,96
0.820475,0.0,0.0,0.774278,0.003514,0.001232,0.622489,0.013004,4.5e-05,1.324652,0.000177,0.000433,0.868455,0.220106,10,C2,97
0.990955,8e-05,0.319665,0.837479,0.046331,0.02298,0.373458,0.028027,4.4e-05,0.563377,0.005938,0.097739,0.035693,0.35486,47,C2,98
0.989299,9e-05,0.31522,0.833375,0.048893,0.025508,0.370729,0.028711,4.2e-05,0.650767,0.005152,0.113199,0.032665,0.361888,117,C2,99
0.825146,0.045085,0.296372,0.76149,0.166033,0.099087,0.474684,0.123778,2.4e-05,1.000193,4.9e-05,0.704892,0.420415,0.893082,18,C2,100
0.823764,0.043559,0.293437,0.758964,0.162082,0.092961,0.47664,0.1224,2.1e-05,1.000418,4.2e-05,0.675444,0.434034,0.904519,146,C2,101
0.822593,0.045436,0.29817,0.758901,0.162384,0.098461,0.477884,0.122524,2e-05,1.000161,3.9e-05,0.698561,0.442792,0.903508,182,C3,102
0.948964,0.016072,0.262963,0.808502,0.173239,0.020724,0.325689,0.035982,1.5e-05,1.85581,0.002548,0.191931,0.006392,0.440584,145,C2,103
0.977888,0.025161,0.451823,0.970562,0.138053,0.137503,0.287369,0.113902,1.2e-05,1.009866,0.007737,0.775196,0.001243,0.962083,147,C2,104
0.820261,0.046452,0.307275,0.752971,0.159166,0.093641,0.480871,0.120836,1.1e-05,1.000094,2e-05,0.675179,0.46408,0.916838,183,C2,105
0.965518,0.0,0.0,0.836964,1.0,0.0,0.993333,0.006604,1e-05,1.24299,0.010892,0.0,0.004438,0.174724,236,C2,106
0.792439,0.033231,0.196475,0.742647,0.013085,0.010822,0.675271,0.021502,7e-06,1.029552,2.8e-05,0.014026,0.791359,0.291598,20,C2,107
0.803971,0.041144,0.258504,0.74953,0.011255,0.004797,0.6648,0.02024,6e-06,1.001313,3e-05,0.005372,0.717407,0.280178,6,C2,108
0.94982,0.027289,0.188628,0.850662,0.370711,0.353735,0.243698,0.023156,4e-06,1.145763,0.051482,0.9971,0.000145,0.306967,115,C2,109
0.996536,0.000334,0.131623,0.749091,0.003848,0.0,0.531724,0.02424,4e-06,0.230722,5.8e-05,0.0,0.833541,0.317297,143,C2,110
0.99653,0.000352,0.193393,0.748302,0.003859,0.0,0.531671,0.023938,3e-06,0.231287,4.7e-05,0.0,0.833205,0.314399,14,C2,111
0.95084,0.024008,0.255877,0.853246,0.370706,0.352257,0.243698,0.023084,3e-06,1.304882,0.033452,0.997049,0.000145,0.306297,59,C2,112
0.948148,0.025339,0.256527,0.85261,0.370736,0.354794,0.243698,0.022951,2e-06,1.235129,0.032225,0.997136,0.000145,0.305042,49,C2,113
0.977072,0.008345,0.0,0.766977,0.610213,0.0,0.919218,0.01432,2e-06,1.552193,9.9e-05,0.0,0.060984,0.230337,133,C2,114
0.996602,0.000261,0.068471,0.745538,0.003772,0.0,0.530764,0.024667,2e-06,0.225651,3.3e-05,0.0,0.827467,0.321415,84,C2,115
